TCI,Transcontinental Realty Investors Inc.,-0.5 0.5,0.10000000149011612 0.10000000149011612,0.0 0.0,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.5 0.5,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,-0.30000001192092896 0.30000001192092896,-0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.5 0.5,-0.30000001192092896 0.30000001192092896,0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.5 0.5,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612
EBSB,"Meridian Interstate Bancorp, Inc.",0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612
FSYS,"Fuel Systems Solutions, Inc.",0.10000000149011612 0.10000000149011612,0.6000000238418579 0.6000000238418579,-0.800000011920929 0.800000011920929,-0.4000000059604645 0.4000000059604645,-0.4000000059604645 0.4000000059604645,0.0 0.0,-0.6000000238418579 0.6000000238418579,-0.20000000298023224 0.20000000298023224,0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,0.0 0.0,0.0 0.0,0.20000000298023224 0.20000000298023224,0.699999988079071 0.699999988079071,0.4000000059604645 0.4000000059604645,-0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,0.0 0.0,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,0.6000000238418579 0.6000000238418579,,
INN,"Summit Hotel Properties, Inc.",-0.20000000298023224 0.20000000298023224,-0.6000000238418579 0.6000000238418579,0.5 0.5,-0.30000001192092896 0.30000001192092896,-0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,-0.8999999761581421 0.8999999761581421,0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.0 0.0,0.699999988079071 0.699999988079071,0.30000001192092896 0.30000001192092896,0.8999999761581421 0.8999999761581421,-0.4000000059604645 0.4000000059604645,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.6000000238418579 0.6000000238418579,0.699999988079071 0.699999988079071,0.699999988079071 0.699999988079071,-0.10000000149011612 0.10000000149011612,0.0 0.0,0.20000000298023224 0.20000000298023224,0.0 0.0,0.699999988079071 0.699999988079071,0.0 0.0,0.10000000149011612 0.10000000149011612,0.20000000298023224 0.20000000298023224,0.5 0.5,0.0 0.0,0.5 0.5,,
ARTC,ArthroCare Corporation,-0.699999988079071 0.699999988079071,-0.699999988079071 0.699999988079071,-0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,-0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,-0.5 0.5,-0.20000000298023224 0.20000000298023224,-0.4000000059604645 0.4000000059604645,0.0 0.0,0.20000000298023224 0.20000000298023224,-0.6000000238418579 0.6000000238418579,-0.5 0.5,0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,-0.5 0.5,0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,-0.800000011920929 0.800000011920929,-0.699999988079071 0.699999988079071,-0.6000000238418579 0.6000000238418579,-0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,-0.5 0.5,0.10000000149011612 0.10000000149011612,-0.5 0.5,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,,,
UNH,UnitedHealth Group Incorporated,0.6000000238418579 0.6000000238418579,0.20000000298023224 0.20000000298023224,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.5 0.5,-0.30000001192092896 0.30000001192092896,0.20000000298023224 0.20000000298023224,-0.6000000238418579 0.6000000238418579,0.0 0.0,0.0 0.0,0.699999988079071 0.699999988079071,0.5 0.5,0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,-0.699999988079071 0.699999988079071,-0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.800000011920929 0.800000011920929,0.699999988079071 0.699999988079071,0.30000001192092896 0.30000001192092896,-0.699999988079071 0.699999988079071,-0.10000000149011612 0.10000000149011612,-0.8999999761581421 0.8999999761581421,0.10000000149011612 0.10000000149011612,0.5 0.5,-0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.5 0.5,-0.800000011920929 0.800000011920929,-0.6000000238418579 0.6000000238418579,0.6000000238418579 0.6000000238418579,
AVB,Avalonbay Communities Inc.,-0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.800000011920929 0.800000011920929,0.20000000298023224 0.20000000298023224,-0.4000000059604645 0.4000000059604645,-0.10000000149011612 0.10000000149011612,0.800000011920929 0.800000011920929,0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,-0.5 0.5,-0.6000000238418579 0.6000000238418579,0.20000000298023224 0.20000000298023224,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.6000000238418579 0.6000000238418579,-0.6000000238418579 0.6000000238418579,-0.699999988079071 0.699999988079071,0.0 0.0,0.10000000149011612 0.10000000149011612,0.0 0.0,0.800000011920929 0.800000011920929,0.30000001192092896 0.30000001192092896,-0.30000001192092896 0.30000001192092896,-0.4000000059604645 0.4000000059604645,0.30000001192092896 0.30000001192092896,0.699999988079071 0.699999988079071,0.0 0.0,0.10000000149011612 0.10000000149011612,-0.5 0.5,-0.800000011920929 0.800000011920929,-0.5 0.5,-0.6000000238418579 0.6000000238418579,-0.20000000298023224 0.20000000298023224,-0.10000000149011612 0.10000000149011612,
IMGN,"ImmunoGen, Inc.",-0.20000000298023224 0.20000000298023224,0.699999988079071 0.699999988079071,-0.20000000298023224 0.20000000298023224,-0.4000000059604645 0.4000000059604645,-0.4000000059604645 0.4000000059604645,0.6000000238418579 0.6000000238418579,-0.4000000059604645 0.4000000059604645,-0.4000000059604645 0.4000000059604645,-0.800000011920929 0.800000011920929,-0.5 0.5,-0.4000000059604645 0.4000000059604645,0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.5 0.5,-0.6000000238418579 0.6000000238418579,-0.6000000238418579 0.6000000238418579,0.0 0.0,-0.800000011920929 0.800000011920929,0.0 0.0,0.30000001192092896 0.30000001192092896,0.5 0.5,0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.699999988079071 0.699999988079071,0.0 0.0,0.0 0.0,0.20000000298023224 0.20000000298023224,-0.699999988079071 0.699999988079071,0.0 0.0,-0.6000000238418579 0.6000000238418579,0.0 0.0,-0.699999988079071 0.699999988079071,0.6000000238418579 0.6000000238418579,-0.30000001192092896 0.30000001192092896,
MFSF,Mutualfirst Financial Inc.,0.800000011920929 0.800000011920929,-0.20000000298023224 0.20000000298023224,-0.20000000298023224 0.20000000298023224,-0.6000000238418579 0.6000000238418579,0.0 0.0,-0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,0.0 0.0,0.0 0.0,-0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,-0.5 0.5,-0.5 0.5,-0.6000000238418579 0.6000000238418579,-0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,-0.5 0.5,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,0.5 0.5,0.0 0.0,-0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.0 0.0,0.5 0.5,0.0 0.0,0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,0.4000000059604645 0.4000000059604645,-0.20000000298023224 0.20000000298023224,-0.6000000238418579 0.6000000238418579,-0.800000011920929 0.800000011920929
PKE,Park Electrochemical Corp.,-0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,-0.6000000238418579 0.6000000238418579,0.699999988079071 0.699999988079071,0.6000000238418579 0.6000000238418579,0.5 0.5,-0.6000000238418579 0.6000000238418579,0.8999999761581421 0.8999999761581421,-0.30000001192092896 0.30000001192092896,-0.30000001192092896 0.30000001192092896,-0.30000001192092896 0.30000001192092896,0.0 0.0,-0.6000000238418579 0.6000000238418579,-0.30000001192092896 0.30000001192092896,0.20000000298023224 0.20000000298023224,0.0 0.0,-0.699999988079071 0.699999988079071,0.8999999761581421 0.8999999761581421,-0.6000000238418579 0.6000000238418579,0.5 0.5,0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,0.20000000298023224 0.20000000298023224,0.699999988079071 0.699999988079071,0.0 0.0,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.699999988079071 0.699999988079071,0.699999988079071 0.699999988079071,0.8999999761581421 0.8999999761581421,0.0 0.0,
PMC,PharMerica Corporation,-0.699999988079071 0.699999988079071,-0.699999988079071 0.699999988079071,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.30000001192092896 0.30000001192092896,-0.800000011920929 0.800000011920929,-0.5 0.5,-0.20000000298023224 0.20000000298023224,-0.6000000238418579 0.6000000238418579,0.0 0.0,0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,-0.5 0.5,-0.800000011920929 0.800000011920929,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,-0.5 0.5,-0.20000000298023224 0.20000000298023224,-0.699999988079071 0.699999988079071,-0.800000011920929 0.800000011920929,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,-0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,-0.5 0.5,0.0 0.0,-0.5 0.5,0.0 0.0,-0.800000011920929 0.800000011920929,,,
Ticker,Name,20090101,20090401,20090701,20091001,20100101,20100401,20100701,20101001,20110101,20110401,20110701,20111001,20120101,20120401,20120701,20121001,20130101,20130401,20130701,20131001,20140101,20140401,20140701,20141001,20150101,20150401,20150701,20151001,20160101,20160401,20160701,20161001,20170101,20170401,20170701,20171001
MILL,"Miller Energy Resources, Inc.",0.8999999761581421 0.8999999761581421,0.800000011920929 0.800000011920929,-0.8999999761581421 0.8999999761581421,0.0 0.0,-0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.0 0.0,0.0 0.0,0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,-0.800000011920929 0.800000011920929,-0.800000011920929 0.800000011920929,0.699999988079071 0.699999988079071,-0.8999999761581421 0.8999999761581421,-0.30000001192092896 0.30000001192092896,0.30000001192092896 0.30000001192092896,-0.10000000149011612 0.10000000149011612,-0.30000001192092896 0.30000001192092896,0.6000000238418579 0.6000000238418579,-0.20000000298023224 0.20000000298023224,-0.800000011920929 0.800000011920929,-0.6000000238418579 0.6000000238418579,0.6000000238418579 0.6000000238418579,0.5 0.5,0.800000011920929 0.800000011920929,-0.5 0.5,0.699999988079071 0.699999988079071,0.0 0.0,0.10000000149011612 0.10000000149011612,-0.4000000059604645 0.4000000059604645,0.0 0.0,0.30000001192092896 0.30000001192092896,0.10000000149011612 0.10000000149011612,0.4000000059604645 0.4000000059604645,-0.800000011920929 0.800000011920929,
XWES,"World Energy Solutions, Inc.",0.20000000298023224 0.20000000298023224,0.30000001192092896 0.30000001192092896,-0.10000000149011612 0.10000000149011612,0.0 0.0,0.0 0.0,0.6000000238418579 0.6000000238418579,0.699999988079071 0.699999988079071,-0.30000001192092896 0.30000001192092896,0.0 0.0,0.20000000298023224 0.20000000298023224,0.800000011920929 0.800000011920929,-0.800000011920929 0.800000011920929,0.699999988079071 0.699999988079071,-0.5 0.5,0.0 0.0,-0.10000000149011612 0.10000000149011612,-0.20000000298023224 0.20000000298023224,0.800000011920929 0.800000011920929,-0.5 0.5,-0.6000000238418579 0.6000000238418579,0.800000011920929 0.800000011920929,0.0 0.0,0.6000000238418579 0.6000000238418579,0.800000011920929 0.800000011920929,0.6000000238418579 0.6000000238418579,-0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,-0.5 0.5,0.0 0.0,0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,,,
ABCB,Ameris Bancorp,-0.699999988079071 0.699999988079071,-0.10000000149011612 0.10000000149011612,0.30000001192092896 0.30000001192092896,-0.699999988079071 0.699999988079071,0.0 0.0,0.10000000149011612 0.10000000149011612,-0.6000000238418579 0.6000000238418579,0.20000000298023224 0.20000000298023224,-0.6000000238418579 0.6000000238418579,0.0 0.0,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,-0.4000000059604645 0.4000000059604645,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,-0.5 0.5,0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,-0.699999988079071 0.699999988079071,-0.6000000238418579 0.6000000238418579,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,-0.800000011920929 0.800000011920929,-0.800000011920929 0.800000011920929,-0.5 0.5,-0.800000011920929 0.800000011920929,-0.5 0.5,-0.6000000238418579 0.6000000238418579,0.10000000149011612 0.10000000149011612,0.0 0.0,-0.10000000149011612 0.10000000149011612,-0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.10000000149011612 0.10000000149011612,0.0 0.0,0.20000000298023224 0.20000000298023224
